"REF_DATE","GEO","DGUID","Type of fuel","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1993-03","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","64.0","","","","1"
"1993-04","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","64.0","","","","1"
"1993-05","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","65.0","","","","1"
"1993-06","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","66.0","","","","1"
"1993-07","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","67.2","","","","1"
"1993-08","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","66.2","","","","1"
"1993-09","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","66.2","","","","1"
"1993-10","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","65.6","","","","1"
"1993-11","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","64.4","","","","1"
"1993-12","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","63.6","","","","1"
"1994-01","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","62.9","","","","1"
"1994-02","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","62.9","","","","1"
"1994-03","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","64.9","","","","1"
"1994-04","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","65.7","","","","1"
"1994-05","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","67.8","","","","1"
"1994-06","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","67.9","","","","1"
"1994-07","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","67.9","","","","1"
"1994-08","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","67.9","","","","1"
"1994-09","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","68.2","","","","1"
"1994-10","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","70.0","","","","1"
"1994-11","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","70.1","","","","1"
"1994-12","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","70.1","","","","1"
"1995-01","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","68.5","","","","1"
"1995-02","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","68.9","","","","1"
"1995-03","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","70.0","","","","1"
"1995-04","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","70.3","","","","1"
"1995-05","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","74.4","","","","1"
"1995-06","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","74.5","","","","1"
"1995-07","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","74.5","","","","1"
"1995-08","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","73.3","","","","1"
"1995-09","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","70.9","","","","1"
"1995-10","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","70.7","","","","1"
"1995-11","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","69.0","","","","1"
"1995-12","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","69.0","","","","1"
"1996-01","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","69.0","","","","1"
"1996-02","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","67.8","","","","1"
"1996-03","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","67.4","","","","1"
"1996-04","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","69.9","","","","1"
"1996-05","St. John's, Newfoundland and Labrador","2011S0503001","Premium unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735100","2.4","72.0","","","","1"
