"REF_DATE","GEO","DGUID","Type of fuel","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016-05","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","99.1","","","","1"
"2016-06","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","109.7","","","","1"
"2016-07","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","109.8","","","","1"
"2016-08","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","109.6","","","","1"
"2016-09","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","110.7","","","","1"
"2016-10","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","123.1","","","","1"
"2016-11","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","119.0","","","","1"
"2016-12","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","122.9","","","","1"
"2017-01","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","126.5","","","","1"
"2017-02","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","125.7","","","","1"
"2017-03","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","122.9","","","","1"
"2017-04","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","120.5","","","","1"
"2017-05","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","112.4","","","","1"
"2017-06","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","113.2","","","","1"
"2017-07","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","110.9","","","","1"
"2017-08","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","115.7","","","","1"
"2017-09","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","119.5","","","","1"
"2017-10","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","124.2","","","","1"
"2017-11","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","130.5","","","","1"
"2017-12","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","133.4","","","","1"
"2018-01","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","136.5","","","","1"
"2018-02","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","134.7","","","","1"
"2018-03","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","134.4","","","","1"
"2018-04","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","133.1","","","","1"
"2018-05","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","139.4","","","","1"
"2018-06","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","139.2","","","","1"
"2018-07","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","139.2","","","","1"
"2018-08","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","137.6","","","","1"
"2018-09","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","141.5","","","","1"
"2018-10","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","148.1","","","","1"
"2018-11","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","142.7","","","","1"
"2018-12","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","132.7","","","","1"
"2019-01","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","133.4","","","","1"
"2019-02","St. John's, Newfoundland and Labrador","2011S0503001","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v65584802","2.6","136.4","","","","1"
