,Game,Watch time,Stream time,Peak viewers,Peak channels,Streamers,Average viewers,Average channels,Average viewer ratio,Followers gained,Views gained,FPR,VPR
1,Just Chatting,"2,300,697,968 hours","32,232,285 hours","2,787,896","13,308","1,835,635","262,636","3,679",71.38,"171,344,648","3,193,916,413",5.32,99.09
2,League of Legends,"1,652,835,706 hours","40,766,355 hours","2,020,835","11,606","1,209,767","188,679","4,653",40.54,"42,937,137","2,010,989,819",1.05,49.33
3,Fortnite,"1,165,037,506 hours","88,236,119 hours","2,331,987","129,860","3,496,932","132,995","10,072",13.20,"142,967,972","1,455,149,313",1.62,16.49
4,Grand Theft Auto V,"945,599,705 hours","19,037,766 hours","506,815","6,530","1,014,076","107,945","2,173",49.67,"49,180,683","901,816,871",2.58,47.37
5,Call of Duty: Warzone,"944,741,957 hours","60,397,163 hours","951,957","31,506","2,143,304","107,847","6,894",15.64,"40,124,735","820,593,661",0.66,13.59
6,VALORANT,"936,638,883 hours","34,068,505 hours","1,728,977","16,287","1,380,665","106,922","3,889",27.49,"44,001,457","1,231,846,982",1.29,36.16
7,Counter-Strike: Global Offensive,"758,957,171 hours","16,995,293 hours","828,949","5,542","942,664","86,638","1,940",44.66,"29,060,466","1,133,023,283",1.71,66.67
8,Minecraft,"635,317,359 hours","25,709,372 hours","931,417","9,865","1,826,328","72,524","2,934",24.71,"51,433,204","578,218,206",2.00,22.49
9,Dota 2,"495,957,878 hours","7,369,566 hours","360,147","1,810","163,452","56,616",841,67.30,"6,510,705","668,114,470",0.88,90.66
10,Among Us,"469,807,195 hours","8,368,349 hours","776,257","12,317","987,163","53,630",955,56.14,"26,299,933","515,909,916",3.14,61.65
11,World of Warcraft,"468,431,058 hours","16,915,422 hours","933,430","25,791","339,237","53,473","1,930",27.69,"7,092,382","564,123,346",0.42,33.35
12,Escape From Tarkov,"425,652,942 hours","10,328,703 hours","441,410","4,268","203,424","48,590","1,179",41.21,"6,470,585","324,988,237",0.63,31.46
13,Apex Legends,"365,167,356 hours","27,954,356 hours","266,326","13,184","1,078,278","41,685","3,191",13.06,"12,690,532","371,844,934",0.45,13.30
14,Rust,"292,849,158 hours","3,631,802 hours","1,373,791","3,249","194,482","33,430",414,80.63,"14,188,619","287,865,856",3.91,79.26
15,Hearthstone,"285,384,705 hours","2,297,769 hours","159,643","1,313","95,949","32,578",262,124.20,"2,218,833","244,186,476",0.97,106.27
16,FIFA 21,"247,575,038 hours","5,069,127 hours","837,094","7,733","342,022","28,261",578,48.84,"10,351,620","233,381,059",2.04,46.04
17,Music,"243,592,493 hours","8,370,258 hours","293,752","2,892","230,847","27,807",955,29.10,"11,411,414","845,873,398",1.36,101.06
18,Dead by Daylight,"217,493,489 hours","11,275,005 hours","128,138","3,242","423,446","24,828","1,287",19.29,"6,591,893","202,714,429",0.58,17.98
19,Fall Guys: Ultimate Knockout,"184,302,819 hours","4,651,158 hours","713,229","7,272","641,543","21,039",530,39.63,"9,335,824","213,177,031",2.01,45.83
20,Teamfight Tactics,"177,431,272 hours","3,534,871 hours","122,784","1,567","216,701","20,254",403,50.19,"2,701,916","182,765,243",0.76,51.70
21,Overwatch,"169,290,996 hours","10,126,782 hours","194,372","2,489","477,009","19,325","1,156",16.72,"6,768,114","184,946,329",0.67,18.26
22,Slots,"168,381,392 hours","1,039,837 hours","114,814",281,"24,848","19,221",118,161.93,"3,287,170","89,596,468",3.16,86.16
23,Rocket League,"167,604,906 hours","9,799,205 hours","243,644","3,824","1,104,719","19,132","1,118",17.10,"12,403,630","215,142,321",1.27,21.96
24,Tom Clancy's Rainbow Six Siege,"160,776,854 hours","14,210,478 hours","187,752","3,779","860,924","18,353","1,622",11.31,"9,749,370","166,432,503",0.69,11.71
25,PLAYERUNKNOWN'S BATTLEGROUNDS,"155,404,734 hours","7,466,581 hours","172,924","1,538","262,413","17,740",852,20.81,"4,891,105","283,614,990",0.66,37.98
26,FIFA 20,"140,653,579 hours","4,079,678 hours","256,298","4,961","314,239","16,056",465,34.48,"6,690,100","233,198,992",1.64,57.16
27,Path of Exile,"125,027,658 hours","2,698,445 hours","295,628","4,123","69,324","14,272",308,46.33,"1,156,540","117,899,427",0.43,43.69
28,Chess,"110,100,899 hours","688,627 hours","370,111",342,"60,416","12,568",78,159.88,"3,150,080","330,869,925",4.57,480.48
29,Call of Duty: Black Ops Cold War,"105,450,961 hours","7,529,240 hours","705,050","23,867","466,249","12,037",859,14.01,"4,094,115","116,514,504",0.54,15.47
30,Destiny 2,"104,144,579 hours","8,767,439 hours","402,791","20,975","296,911","11,888","1,000",11.88,"3,127,494","94,659,155",0.36,10.80
31,Art,"97,090,309 hours","6,120,476 hours","109,763","1,382","253,857","11,083",698,15.86,"5,813,534","130,234,892",0.95,21.28
32,Garena Free Fire,"92,868,323 hours","2,110,700 hours","506,272",843,"117,227","10,601",240,44,"11,870,188","136,411,914",5.62,64.63
33,Genshin Impact,"89,892,067 hours","4,934,271 hours","212,270","5,816","319,362","10,261",563,18.22,"3,120,354","112,091,607",0.63,22.72
34,Special Events,"89,403,711 hours","476,595 hours","3,123,208","6,896","60,379","10,205",54,187.59,"2,749,021","133,446,937",5.77,280.00
35,Animal Crossing: New Horizons,"87,593,871 hours","2,308,993 hours","244,171","4,403","104,498","9,999",263,37.94,"4,559,655","94,444,493",1.97,40.90
36,Phasmophobia,"85,587,470 hours","4,708,010 hours","256,449","8,907","439,902","9,770",537,18.18,"3,322,261","85,574,123",0.71,18.18
37,Poker,"78,913,242 hours","1,036,649 hours","124,617",417,"30,969","9,008",118,76.12,"1,481,164","88,980,425",1.43,85.83
38,Old School RuneScape,"70,476,120 hours","1,669,786 hours","93,917",629,"44,499","8,045",190,42.21,"9,189,798","52,003,466",5.50,31.14
39,Cyberpunk 2077,"69,949,222 hours","3,185,132 hours","1,126,038","35,125","260,585","7,985",363,21.96,"1,426,196","104,861,204",0.45,32.92
40,Sea of Thieves,"69,038,010 hours","4,031,003 hours","78,018","1,582","259,471","7,881",460,17.13,"2,026,647","68,250,060",0.50,16.93
41,Talk Shows & Podcasts,"69,006,752 hours","1,477,461 hours","413,745",727,"80,592","7,877",168,46.71,"2,449,851","128,425,538",1.66,86.92
42,ASMR,"61,553,016 hours","896,250 hours","25,076",190,"21,129","7,026",102,68.68,"3,300,671","77,198,093",3.68,86.13
43,Magic: The Gathering,"60,187,475 hours","1,117,484 hours","43,689",492,"42,664","6,870",127,53.86,"665,201","55,322,579",0.60,49.51
44,StarCraft II,"56,707,092 hours","844,207 hours","90,208",238,"31,084","6,473",96,67.17,"634,563","68,467,731",0.75,81.10
45,SMITE,"54,869,227 hours","2,436,594 hours","97,040",873,"104,014","6,263",278,22.52,"699,814","39,217,806",0.29,16.10
46,World of Tanks,"52,842,765 hours","1,926,043 hours","131,606",672,"54,488","6,032",219,27.44,"1,074,561","68,160,431",0.56,35.39
47,NBA 2K21,"50,842,412 hours","3,688,800 hours","151,940","6,873","197,580","5,803",421,13.78,"3,264,549","45,308,386",0.88,12.28
48,NBA 2K20,"48,698,690 hours","4,288,104 hours","91,296","2,188","260,283","5,559",489,11.36,"3,992,691","96,101,471",0.93,22.41
49,Black Desert Online,"47,385,739 hours","1,930,456 hours","68,099",554,"50,700","5,409",220,24.55,"910,357","64,254,702",0.47,33.28
50,DayZ,"45,472,530 hours","2,112,428 hours","106,528",682,"98,724","5,190",241,21.53,"896,404","37,479,055",0.42,17.74
