artist,track,id,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,track_href,analysis_url,duration_ms,time_signature
Khalid,Location,1WIfWj5skn5UUZTs4cEFBe,2017-10-31,0.799,0.436,1,-9.975,0,0.379,0.283,0.000105,0.0968,0.311,80.028,spotify:track:1WIfWj5skn5UUZTs4cEFBe,https://api.spotify.com/v1/tracks/1WIfWj5skn5UUZTs4cEFBe,https://api.spotify.com/v1/audio-analysis/1WIfWj5skn5UUZTs4cEFBe,217566,4
Queen,We Will Rock You,0a9sd6MEXZXIPHk0fAxpZ4,1977-10-28,0.686,0.384,11,-10.424,0,0.0719,0.629,0,0.153,0.544,81.412,spotify:track:0a9sd6MEXZXIPHk0fAxpZ4,https://api.spotify.com/v1/tracks/0a9sd6MEXZXIPHk0fAxpZ4,https://api.spotify.com/v1/audio-analysis/0a9sd6MEXZXIPHk0fAxpZ4,121973,4
Queen,Bohemian Rhapsody - 2011 Remaster,6AWe04n4zsYkGKb3Pf7LMk,2018-10-19,0.39,0.397,0,-9.963,0,0.0513,0.287,0,0.207,0.246,144.031,spotify:track:6AWe04n4zsYkGKb3Pf7LMk,https://api.spotify.com/v1/tracks/6AWe04n4zsYkGKb3Pf7LMk,https://api.spotify.com/v1/audio-analysis/6AWe04n4zsYkGKb3Pf7LMk,354947,4
The Weeknd,Die For You,2Ch7LmS7r2Gy2kc64wv3Bz,2016-11-25,0.582,0.525,1,-7.163,0,0.0627,0.111,0,0.134,0.51,133.249,spotify:track:2Ch7LmS7r2Gy2kc64wv3Bz,https://api.spotify.com/v1/tracks/2Ch7LmS7r2Gy2kc64wv3Bz,https://api.spotify.com/v1/audio-analysis/2Ch7LmS7r2Gy2kc64wv3Bz,260253,4
Coldplay,Hymn for the Weekend,3RiPr603aXAoi4GHyXx0uy,2015-12-04,0.491,0.693,0,-6.487,0,0.0377,0.211,6.92E-06,0.325,0.412,90.027,spotify:track:3RiPr603aXAoi4GHyXx0uy,https://api.spotify.com/v1/tracks/3RiPr603aXAoi4GHyXx0uy,https://api.spotify.com/v1/audio-analysis/3RiPr603aXAoi4GHyXx0uy,258267,4
Coldplay,Fix You,7LVHVU3tWfcxj5aiPFEW4Q,2005-06-07,0.209,0.417,3,-8.74,1,0.0338,0.164,0.00196,0.113,0.124,138.178,spotify:track:7LVHVU3tWfcxj5aiPFEW4Q,https://api.spotify.com/v1/tracks/7LVHVU3tWfcxj5aiPFEW4Q,https://api.spotify.com/v1/audio-analysis/7LVHVU3tWfcxj5aiPFEW4Q,295533,4
Ed Sheeran,Thinking out Loud,34gCuhDGsG4bRPIf9bb02f,2014-06-21,0.781,0.445,2,-6.061,1,0.0295,0.474,0,0.184,0.591,78.998,spotify:track:34gCuhDGsG4bRPIf9bb02f,https://api.spotify.com/v1/tracks/34gCuhDGsG4bRPIf9bb02f,https://api.spotify.com/v1/audio-analysis/34gCuhDGsG4bRPIf9bb02f,281560,4
The Weeknd,Can't Feel My Face,22VdIZQfgXJea34mQxlt81,2015-08-28,0.705,0.769,9,-5.526,0,0.0425,0.113,0,0.105,0.583,107.949,spotify:track:22VdIZQfgXJea34mQxlt81,https://api.spotify.com/v1/tracks/22VdIZQfgXJea34mQxlt81,https://api.spotify.com/v1/audio-analysis/22VdIZQfgXJea34mQxlt81,213520,4
Eminem,Godzilla (feat. Juice WRLD),7FIWs0pqAYbP91WWM0vlTQ,2020-01-17,0.808,0.745,10,-5.26,0,0.342,0.145,0,0.292,0.829,165.995,spotify:track:7FIWs0pqAYbP91WWM0vlTQ,https://api.spotify.com/v1/tracks/7FIWs0pqAYbP91WWM0vlTQ,https://api.spotify.com/v1/audio-analysis/7FIWs0pqAYbP91WWM0vlTQ,210800,4
Post Malone,Better Now,7dt6x5M1jzdTEt8oCbisTK,2018-04-27,0.68,0.578,10,-5.804,1,0.04,0.331,0,0.135,0.341,145.038,spotify:track:7dt6x5M1jzdTEt8oCbisTK,https://api.spotify.com/v1/tracks/7dt6x5M1jzdTEt8oCbisTK,https://api.spotify.com/v1/audio-analysis/7dt6x5M1jzdTEt8oCbisTK,231267,4
The Weeknd,Save Your Tears (with Ariana Grande) (Remix),37BZB0z9T8Xu7U3e65qxFy,2021-04-23,0.65,0.825,0,-4.645,1,0.0325,0.0215,2.44E-05,0.0936,0.593,118.091,spotify:track:37BZB0z9T8Xu7U3e65qxFy,https://api.spotify.com/v1/tracks/37BZB0z9T8Xu7U3e65qxFy,https://api.spotify.com/v1/audio-analysis/37BZB0z9T8Xu7U3e65qxFy,191014,4
XXXTENTACION,SAD!,3ee8Jmje8o58CHK66QrVC2,2018-03-16,0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,spotify:track:3ee8Jmje8o58CHK66QrVC2,https://api.spotify.com/v1/tracks/3ee8Jmje8o58CHK66QrVC2,https://api.spotify.com/v1/audio-analysis/3ee8Jmje8o58CHK66QrVC2,166606,4
XXXTENTACION,Look At Me!,7floNISpH8VF4z4459Qo18,2017-02-20,0.763,0.726,1,-6.405,1,0.282,0.259,0,0.0976,0.349,139.059,spotify:track:7floNISpH8VF4z4459Qo18,https://api.spotify.com/v1/tracks/7floNISpH8VF4z4459Qo18,https://api.spotify.com/v1/audio-analysis/7floNISpH8VF4z4459Qo18,126346,4
XXXTENTACION,Fuck Love (feat. Trippie Redd),7AQim7LbvFVZJE3O8TYgf2,2017-08-25,0.797,0.533,0,-9.74,0,0.0412,0.0172,0.000152,0.103,0.329,131.036,spotify:track:7AQim7LbvFVZJE3O8TYgf2,https://api.spotify.com/v1/tracks/7AQim7LbvFVZJE3O8TYgf2,https://api.spotify.com/v1/audio-analysis/7AQim7LbvFVZJE3O8TYgf2,146520,4
The Weeknd,I Feel It Coming,3dhjNA0jGA8vHBQ1VdD6vV,2016-11-25,0.773,0.819,0,-5.946,0,0.118,0.428,0,0.0679,0.585,92.987,spotify:track:3dhjNA0jGA8vHBQ1VdD6vV,https://api.spotify.com/v1/tracks/3dhjNA0jGA8vHBQ1VdD6vV,https://api.spotify.com/v1/audio-analysis/3dhjNA0jGA8vHBQ1VdD6vV,269187,4
Coldplay,My Universe,3FeVmId7tL5YN8B7R3imoM,2021-09-24,0.588,0.701,9,-6.39,1,0.0402,0.00813,0,0.2,0.443,104.988,spotify:track:3FeVmId7tL5YN8B7R3imoM,https://api.spotify.com/v1/tracks/3FeVmId7tL5YN8B7R3imoM,https://api.spotify.com/v1/audio-analysis/3FeVmId7tL5YN8B7R3imoM,228000,4
Post Malone,Goodbyes (feat. Young Thug),0t3ZvGKlmYmVsDzBJAXK8C,2019-09-06,0.548,0.653,5,-3.875,1,0.081,0.456,0,0.103,0.163,150.068,spotify:track:0t3ZvGKlmYmVsDzBJAXK8C,https://api.spotify.com/v1/tracks/0t3ZvGKlmYmVsDzBJAXK8C,https://api.spotify.com/v1/audio-analysis/0t3ZvGKlmYmVsDzBJAXK8C,174853,4
Post Malone,I Fall Apart,75ZvA4QfFiZvzhj2xkaWAh,2016-12-09,0.556,0.538,8,-5.408,0,0.0382,0.0689,0,0.196,0.291,143.95,spotify:track:75ZvA4QfFiZvzhj2xkaWAh,https://api.spotify.com/v1/tracks/75ZvA4QfFiZvzhj2xkaWAh,https://api.spotify.com/v1/audio-analysis/75ZvA4QfFiZvzhj2xkaWAh,223347,4
Bruno Mars,24K Magic,6b8Be6ljOzmkOmFslEb23P,2016-11-17,0.818,0.803,1,-4.282,1,0.0797,0.034,0,0.153,0.632,106.97,spotify:track:6b8Be6ljOzmkOmFslEb23P,https://api.spotify.com/v1/tracks/6b8Be6ljOzmkOmFslEb23P,https://api.spotify.com/v1/audio-analysis/6b8Be6ljOzmkOmFslEb23P,225983,4
Ed Sheeran,Castle on the Hill,6PCUP3dWmTjcTtXY02oFdT,2017-03-03,0.461,0.834,2,-4.868,1,0.0989,0.0232,1.14E-05,0.14,0.471,135.007,spotify:track:6PCUP3dWmTjcTtXY02oFdT,https://api.spotify.com/v1/tracks/6PCUP3dWmTjcTtXY02oFdT,https://api.spotify.com/v1/audio-analysis/6PCUP3dWmTjcTtXY02oFdT,261154,4
Ed Sheeran,Galway Girl,0afhq8XCExXpqazXczTSve,2017-03-03,0.624,0.876,9,-3.374,1,0.1,0.0735,0,0.327,0.781,99.943,spotify:track:0afhq8XCExXpqazXczTSve,https://api.spotify.com/v1/tracks/0afhq8XCExXpqazXczTSve,https://api.spotify.com/v1/audio-analysis/0afhq8XCExXpqazXczTSve,170827,4
Bad Bunny,MIA,3gE4eQH3K83Sght0ZLvuBK,2018-12-23,0.816,0.538,6,-6.354,0,0.0617,0.0142,0.000496,0.099,0.156,97.054,spotify:track:3gE4eQH3K83Sght0ZLvuBK,https://api.spotify.com/v1/tracks/3gE4eQH3K83Sght0ZLvuBK,https://api.spotify.com/v1/audio-analysis/3gE4eQH3K83Sght0ZLvuBK,210368,4
Bad Bunny,DÁKITI,4MzXwWMhyBbmu6hOcLVD49,2020-11-27,0.731,0.573,4,-10.059,0,0.0544,0.401,5.22E-05,0.113,0.145,109.928,spotify:track:4MzXwWMhyBbmu6hOcLVD49,https://api.spotify.com/v1/tracks/4MzXwWMhyBbmu6hOcLVD49,https://api.spotify.com/v1/audio-analysis/4MzXwWMhyBbmu6hOcLVD49,205090,4
Ed Sheeran,Happier,2RttW7RAu5nOAfq6YFvApB,2017-03-03,0.522,0.385,0,-7.355,1,0.0288,0.536,0,0.135,0.236,89.792,spotify:track:2RttW7RAu5nOAfq6YFvApB,https://api.spotify.com/v1/tracks/2RttW7RAu5nOAfq6YFvApB,https://api.spotify.com/v1/audio-analysis/2RttW7RAu5nOAfq6YFvApB,207520,4
Drake,Hotline Bling,0wwPcA6wtMf6HUMpIRdeP7,2016-05-06,0.891,0.628,2,-7.863,1,0.0551,0.00258,0.00019,0.0504,0.552,134.966,spotify:track:0wwPcA6wtMf6HUMpIRdeP7,https://api.spotify.com/v1/tracks/0wwPcA6wtMf6HUMpIRdeP7,https://api.spotify.com/v1/audio-analysis/0wwPcA6wtMf6HUMpIRdeP7,267067,4
