,,,,,,,,,,,,,
List of Alberta Snowfly Elements in the ACIMS Database - June 2022,,,,,,,,,,,,,
,"Please note:  Elements may be tracked at the species or subspecies/variety level, so be sure to check both the species and infraspecies for tracking status.",,,,,,,,,,,,
Alberta,Invertebrate Animal,IIPLE0G050,Leuctridae,Megaleuctra stigmata,giant needlefly,Megaleuctra stigmata,Giant Needlefly,SU,NU,G2G3,Native,Unknown/Undetermined,Track all extant and selected historical EOs
Alberta,Invertebrate Animal,IIPLE0H020,Nemouridae,Amphinemura banksi,Rockies forestfly,Amphinemura banksi,Rockies Forestfly,SU,NU,G5,Native,Present,Track all extant and selected historical EOs
Alberta,Invertebrate Animal,IIPLE0H040,Nemouridae,Amphinemura linda,lovely forestfly,Amphinemura palmeni,Lovely Forestfly,SU,N5,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE0J030,Nemouridae,Malenka californica,California forestfly,Malenka californica,California Forestfly,SU,N4N5,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE0J070,Nemouridae,Malenka flexura,twisted forestfly,Malenka flexura,Twisted Forestfly,SU,NU,G5,Native,Present,Track all extant and selected historical EOs
Alberta,Invertebrate Animal,IIPLE0K010,Nemouridae,Lednia tumana,mist forestfly,Lednia tumana,Mist Forestfly,SU,NU,G1G2,Native,Present,Track all extant and selected historical EOs
Alberta,Invertebrate Animal,IIPLE0L070,Nemouridae,Nemoura arctica,arctic forestfly,Nemoura arctica,Arctic Forestfly,SU,NNR,GNR,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE0P010,Nemouridae,Podmosta decepta,least forestfly,Podmosta decepta,Least Forestfly,SU,N5,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE0P020,Nemouridae,Podmosta delicatula,delicate forestfly,Podmosta delicatula,Delicate Forestfly,SU,N5,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE0Q010,Nemouridae,Prostoia besametsa,banded forestfly,Prostoia besametsa,Banded Forestfly,SU,N4N5,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE0R010,Nemouridae,Shipsa rotunda,intrepid forestfly,Shipsa rotunda,Intrepid Forestfly,SU,NU,G5,Native,Present,Do not track
