PLAYER,TEAM,TEAM_ID,SEASON,GP,MIN,%FGA 2PT,%FGA 3PT,%PTS 2PT,%PTS 2PT MR,%PTS 3PT,%PTS FBPs,%PTS FT,%PTS OffTO,%PTS PITP,2FGM %AST,2FGM %UAST,3FGM %AST,3FGM %UAST,FGM %AST,FGM %UAST
Aari McDonald,Atlanta Dream,1611661330,1997,5,28.7,47.4,52.6,26.7,0,60,26.7,13.3,16.7,26.7,50,50,83.3,16.7,70,30
Allisha Gray,Atlanta Dream,1611661330,1997,13,32.4,78.5,21.5,56.5,9.6,15.7,17,27.8,10.9,47,63.1,36.9,91.7,8.3,67.5,32.5
Asia (AD) Durr,Atlanta Dream,1611661330,1997,13,14.8,63.4,36.6,53.3,17.8,30,18.9,16.7,20,35.6,33.3,66.7,100,0,51.5,48.5
Cheyenne Parker,Atlanta Dream,1611661330,1997,13,27.2,87.7,12.3,71.8,9.6,8.6,9.1,19.6,17.7,62.2,62.7,37.3,100,0,65.4,34.6
Danielle Robinson,Atlanta Dream,1611661330,1997,5,14.4,78.3,21.7,59.3,14.8,33.3,7.4,7.4,22.2,44.4,50,50,100,0,63.6,36.4
Haley Jones,Atlanta Dream,1611661330,1997,13,21.9,82.4,17.6,64.6,12.3,18.5,10.8,16.9,15.4,52.3,19,81,100,0,32,68
Laeticia Amihere,Atlanta Dream,1611661330,1997,7,7.8,93.3,6.7,53.8,0,0,7.7,46.2,11.5,53.8,57.1,42.9,0,0,57.1,42.9
Lorela Cubaj,Atlanta Dream,1611661330,1997,3,6.2,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0
Monique Billings,Atlanta Dream,1611661330,1997,12,14.7,97.7,2.3,64.2,15.1,0,28.3,35.8,39.6,49.1,70.6,29.4,0,0,70.6,29.4
Naz Hillmon,Atlanta Dream,1611661330,1997,13,15.5,97.6,2.4,71.9,6.3,0,3.1,28.1,15.6,65.6,69.6,30.4,0,0,69.6,30.4
Nia Coffey,Atlanta Dream,1611661330,1997,13,20.6,50.8,49.2,35.3,8.8,57.4,11.8,7.3,17.6,26.5,58.3,41.7,100,0,80,20
Rhyne Howard,Atlanta Dream,1611661330,1997,13,31.7,54.4,45.6,36.1,15.7,41.7,9.3,22.2,17.1,20.4,33.3,66.7,80,20,53.6,46.4
Taylor Mikesell,Atlanta Dream,1611661330,1997,5,5.4,30,70,23.5,0,52.9,0,23.6,29.4,23.5,0,100,100,0,60,40
Aari McDonald,Atlanta Dream,1611661330,1998,5,28.7,47.4,52.6,26.7,0,60,26.7,13.3,16.7,26.7,50,50,83.3,16.7,70,30
Allisha Gray,Atlanta Dream,1611661330,1998,13,32.4,78.5,21.5,56.5,9.6,15.7,17,27.8,10.9,47,63.1,36.9,91.7,8.3,67.5,32.5
Asia (AD) Durr,Atlanta Dream,1611661330,1998,13,14.8,63.4,36.6,53.3,17.8,30,18.9,16.7,20,35.6,33.3,66.7,100,0,51.5,48.5
Cheyenne Parker,Atlanta Dream,1611661330,1998,13,27.2,87.7,12.3,71.8,9.6,8.6,9.1,19.6,17.7,62.2,62.7,37.3,100,0,65.4,34.6
Danielle Robinson,Atlanta Dream,1611661330,1998,5,14.4,78.3,21.7,59.3,14.8,33.3,7.4,7.4,22.2,44.4,50,50,100,0,63.6,36.4
Haley Jones,Atlanta Dream,1611661330,1998,13,21.9,82.4,17.6,64.6,12.3,18.5,10.8,16.9,15.4,52.3,19,81,100,0,32,68
Laeticia Amihere,Atlanta Dream,1611661330,1998,7,7.8,93.3,6.7,53.8,0,0,7.7,46.2,11.5,53.8,57.1,42.9,0,0,57.1,42.9
Lorela Cubaj,Atlanta Dream,1611661330,1998,3,6.2,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0
Monique Billings,Atlanta Dream,1611661330,1998,12,14.7,97.7,2.3,64.2,15.1,0,28.3,35.8,39.6,49.1,70.6,29.4,0,0,70.6,29.4
Naz Hillmon,Atlanta Dream,1611661330,1998,13,15.5,97.6,2.4,71.9,6.3,0,3.1,28.1,15.6,65.6,69.6,30.4,0,0,69.6,30.4
Nia Coffey,Atlanta Dream,1611661330,1998,13,20.6,50.8,49.2,35.3,8.8,57.4,11.8,7.3,17.6,26.5,58.3,41.7,100,0,80,20
Rhyne Howard,Atlanta Dream,1611661330,1998,13,31.7,54.4,45.6,36.1,15.7,41.7,9.3,22.2,17.1,20.4,33.3,66.7,80,20,53.6,46.4
Taylor Mikesell,Atlanta Dream,1611661330,1998,5,5.4,30,70,23.5,0,52.9,0,23.6,29.4,23.5,0,100,100,0,60,40
Aari McDonald,Atlanta Dream,1611661330,1999,5,28.7,47.4,52.6,26.7,0,60,26.7,13.3,16.7,26.7,50,50,83.3,16.7,70,30
Allisha Gray,Atlanta Dream,1611661330,1999,13,32.4,78.5,21.5,56.5,9.6,15.7,17,27.8,10.9,47,63.1,36.9,91.7,8.3,67.5,32.5
Asia (AD) Durr,Atlanta Dream,1611661330,1999,13,14.8,63.4,36.6,53.3,17.8,30,18.9,16.7,20,35.6,33.3,66.7,100,0,51.5,48.5
Cheyenne Parker,Atlanta Dream,1611661330,1999,13,27.2,87.7,12.3,71.8,9.6,8.6,9.1,19.6,17.7,62.2,62.7,37.3,100,0,65.4,34.6
Danielle Robinson,Atlanta Dream,1611661330,1999,5,14.4,78.3,21.7,59.3,14.8,33.3,7.4,7.4,22.2,44.4,50,50,100,0,63.6,36.4
Haley Jones,Atlanta Dream,1611661330,1999,13,21.9,82.4,17.6,64.6,12.3,18.5,10.8,16.9,15.4,52.3,19,81,100,0,32,68
Laeticia Amihere,Atlanta Dream,1611661330,1999,7,7.8,93.3,6.7,53.8,0,0,7.7,46.2,11.5,53.8,57.1,42.9,0,0,57.1,42.9
Lorela Cubaj,Atlanta Dream,1611661330,1999,3,6.2,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0
Monique Billings,Atlanta Dream,1611661330,1999,12,14.7,97.7,2.3,64.2,15.1,0,28.3,35.8,39.6,49.1,70.6,29.4,0,0,70.6,29.4
Naz Hillmon,Atlanta Dream,1611661330,1999,13,15.5,97.6,2.4,71.9,6.3,0,3.1,28.1,15.6,65.6,69.6,30.4,0,0,69.6,30.4
Nia Coffey,Atlanta Dream,1611661330,1999,13,20.6,50.8,49.2,35.3,8.8,57.4,11.8,7.3,17.6,26.5,58.3,41.7,100,0,80,20
Rhyne Howard,Atlanta Dream,1611661330,1999,13,31.7,54.4,45.6,36.1,15.7,41.7,9.3,22.2,17.1,20.4,33.3,66.7,80,20,53.6,46.4
Taylor Mikesell,Atlanta Dream,1611661330,1999,5,5.4,30,70,23.5,0,52.9,0,23.6,29.4,23.5,0,100,100,0,60,40
Aari McDonald,Atlanta Dream,1611661330,2000,5,28.7,47.4,52.6,26.7,0,60,26.7,13.3,16.7,26.7,50,50,83.3,16.7,70,30
Allisha Gray,Atlanta Dream,1611661330,2000,13,32.4,78.5,21.5,56.5,9.6,15.7,17,27.8,10.9,47,63.1,36.9,91.7,8.3,67.5,32.5
Asia (AD) Durr,Atlanta Dream,1611661330,2000,13,14.8,63.4,36.6,53.3,17.8,30,18.9,16.7,20,35.6,33.3,66.7,100,0,51.5,48.5
Cheyenne Parker,Atlanta Dream,1611661330,2000,13,27.2,87.7,12.3,71.8,9.6,8.6,9.1,19.6,17.7,62.2,62.7,37.3,100,0,65.4,34.6
Danielle Robinson,Atlanta Dream,1611661330,2000,5,14.4,78.3,21.7,59.3,14.8,33.3,7.4,7.4,22.2,44.4,50,50,100,0,63.6,36.4
Haley Jones,Atlanta Dream,1611661330,2000,13,21.9,82.4,17.6,64.6,12.3,18.5,10.8,16.9,15.4,52.3,19,81,100,0,32,68
Laeticia Amihere,Atlanta Dream,1611661330,2000,7,7.8,93.3,6.7,53.8,0,0,7.7,46.2,11.5,53.8,57.1,42.9,0,0,57.1,42.9
Lorela Cubaj,Atlanta Dream,1611661330,2000,3,6.2,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0
Monique Billings,Atlanta Dream,1611661330,2000,12,14.7,97.7,2.3,64.2,15.1,0,28.3,35.8,39.6,49.1,70.6,29.4,0,0,70.6,29.4
Naz Hillmon,Atlanta Dream,1611661330,2000,13,15.5,97.6,2.4,71.9,6.3,0,3.1,28.1,15.6,65.6,69.6,30.4,0,0,69.6,30.4
Nia Coffey,Atlanta Dream,1611661330,2000,13,20.6,50.8,49.2,35.3,8.8,57.4,11.8,7.3,17.6,26.5,58.3,41.7,100,0,80,20
Rhyne Howard,Atlanta Dream,1611661330,2000,13,31.7,54.4,45.6,36.1,15.7,41.7,9.3,22.2,17.1,20.4,33.3,66.7,80,20,53.6,46.4
Taylor Mikesell,Atlanta Dream,1611661330,2000,5,5.4,30,70,23.5,0,52.9,0,23.6,29.4,23.5,0,100,100,0,60,40
Aari McDonald,Atlanta Dream,1611661330,2001,5,28.7,47.4,52.6,26.7,0,60,26.7,13.3,16.7,26.7,50,50,83.3,16.7,70,30
Allisha Gray,Atlanta Dream,1611661330,2001,13,32.4,78.5,21.5,56.5,9.6,15.7,17,27.8,10.9,47,63.1,36.9,91.7,8.3,67.5,32.5
Asia (AD) Durr,Atlanta Dream,1611661330,2001,13,14.8,63.4,36.6,53.3,17.8,30,18.9,16.7,20,35.6,33.3,66.7,100,0,51.5,48.5
Cheyenne Parker,Atlanta Dream,1611661330,2001,13,27.2,87.7,12.3,71.8,9.6,8.6,9.1,19.6,17.7,62.2,62.7,37.3,100,0,65.4,34.6
Danielle Robinson,Atlanta Dream,1611661330,2001,5,14.4,78.3,21.7,59.3,14.8,33.3,7.4,7.4,22.2,44.4,50,50,100,0,63.6,36.4
Haley Jones,Atlanta Dream,1611661330,2001,13,21.9,82.4,17.6,64.6,12.3,18.5,10.8,16.9,15.4,52.3,19,81,100,0,32,68
Laeticia Amihere,Atlanta Dream,1611661330,2001,7,7.8,93.3,6.7,53.8,0,0,7.7,46.2,11.5,53.8,57.1,42.9,0,0,57.1,42.9
Lorela Cubaj,Atlanta Dream,1611661330,2001,3,6.2,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0
Monique Billings,Atlanta Dream,1611661330,2001,12,14.7,97.7,2.3,64.2,15.1,0,28.3,35.8,39.6,49.1,70.6,29.4,0,0,70.6,29.4
Naz Hillmon,Atlanta Dream,1611661330,2001,13,15.5,97.6,2.4,71.9,6.3,0,3.1,28.1,15.6,65.6,69.6,30.4,0,0,69.6,30.4
Nia Coffey,Atlanta Dream,1611661330,2001,13,20.6,50.8,49.2,35.3,8.8,57.4,11.8,7.3,17.6,26.5,58.3,41.7,100,0,80,20
Rhyne Howard,Atlanta Dream,1611661330,2001,13,31.7,54.4,45.6,36.1,15.7,41.7,9.3,22.2,17.1,20.4,33.3,66.7,80,20,53.6,46.4
Taylor Mikesell,Atlanta Dream,1611661330,2001,5,5.4,30,70,23.5,0,52.9,0,23.6,29.4,23.5,0,100,100,0,60,40
Aari McDonald,Atlanta Dream,1611661330,2002,5,28.7,47.4,52.6,26.7,0,60,26.7,13.3,16.7,26.7,50,50,83.3,16.7,70,30
Allisha Gray,Atlanta Dream,1611661330,2002,13,32.4,78.5,21.5,56.5,9.6,15.7,17,27.8,10.9,47,63.1,36.9,91.7,8.3,67.5,32.5
Asia (AD) Durr,Atlanta Dream,1611661330,2002,13,14.8,63.4,36.6,53.3,17.8,30,18.9,16.7,20,35.6,33.3,66.7,100,0,51.5,48.5
Cheyenne Parker,Atlanta Dream,1611661330,2002,13,27.2,87.7,12.3,71.8,9.6,8.6,9.1,19.6,17.7,62.2,62.7,37.3,100,0,65.4,34.6
Danielle Robinson,Atlanta Dream,1611661330,2002,5,14.4,78.3,21.7,59.3,14.8,33.3,7.4,7.4,22.2,44.4,50,50,100,0,63.6,36.4
Haley Jones,Atlanta Dream,1611661330,2002,13,21.9,82.4,17.6,64.6,12.3,18.5,10.8,16.9,15.4,52.3,19,81,100,0,32,68
Laeticia Amihere,Atlanta Dream,1611661330,2002,7,7.8,93.3,6.7,53.8,0,0,7.7,46.2,11.5,53.8,57.1,42.9,0,0,57.1,42.9
Lorela Cubaj,Atlanta Dream,1611661330,2002,3,6.2,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0
Monique Billings,Atlanta Dream,1611661330,2002,12,14.7,97.7,2.3,64.2,15.1,0,28.3,35.8,39.6,49.1,70.6,29.4,0,0,70.6,29.4
Naz Hillmon,Atlanta Dream,1611661330,2002,13,15.5,97.6,2.4,71.9,6.3,0,3.1,28.1,15.6,65.6,69.6,30.4,0,0,69.6,30.4
Nia Coffey,Atlanta Dream,1611661330,2002,13,20.6,50.8,49.2,35.3,8.8,57.4,11.8,7.3,17.6,26.5,58.3,41.7,100,0,80,20
Rhyne Howard,Atlanta Dream,1611661330,2002,13,31.7,54.4,45.6,36.1,15.7,41.7,9.3,22.2,17.1,20.4,33.3,66.7,80,20,53.6,46.4
Taylor Mikesell,Atlanta Dream,1611661330,2002,5,5.4,30,70,23.5,0,52.9,0,23.6,29.4,23.5,0,100,100,0,60,40
Aari McDonald,Atlanta Dream,1611661330,2003,5,28.7,47.4,52.6,26.7,0,60,26.7,13.3,16.7,26.7,50,50,83.3,16.7,70,30
Allisha Gray,Atlanta Dream,1611661330,2003,13,32.4,78.5,21.5,56.5,9.6,15.7,17,27.8,10.9,47,63.1,36.9,91.7,8.3,67.5,32.5
Asia (AD) Durr,Atlanta Dream,1611661330,2003,13,14.8,63.4,36.6,53.3,17.8,30,18.9,16.7,20,35.6,33.3,66.7,100,0,51.5,48.5
Cheyenne Parker,Atlanta Dream,1611661330,2003,13,27.2,87.7,12.3,71.8,9.6,8.6,9.1,19.6,17.7,62.2,62.7,37.3,100,0,65.4,34.6
Danielle Robinson,Atlanta Dream,1611661330,2003,5,14.4,78.3,21.7,59.3,14.8,33.3,7.4,7.4,22.2,44.4,50,50,100,0,63.6,36.4
Haley Jones,Atlanta Dream,1611661330,2003,13,21.9,82.4,17.6,64.6,12.3,18.5,10.8,16.9,15.4,52.3,19,81,100,0,32,68
Laeticia Amihere,Atlanta Dream,1611661330,2003,7,7.8,93.3,6.7,53.8,0,0,7.7,46.2,11.5,53.8,57.1,42.9,0,0,57.1,42.9
Lorela Cubaj,Atlanta Dream,1611661330,2003,3,6.2,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0
Monique Billings,Atlanta Dream,1611661330,2003,12,14.7,97.7,2.3,64.2,15.1,0,28.3,35.8,39.6,49.1,70.6,29.4,0,0,70.6,29.4
Naz Hillmon,Atlanta Dream,1611661330,2003,13,15.5,97.6,2.4,71.9,6.3,0,3.1,28.1,15.6,65.6,69.6,30.4,0,0,69.6,30.4
Nia Coffey,Atlanta Dream,1611661330,2003,13,20.6,50.8,49.2,35.3,8.8,57.4,11.8,7.3,17.6,26.5,58.3,41.7,100,0,80,20
Rhyne Howard,Atlanta Dream,1611661330,2003,13,31.7,54.4,45.6,36.1,15.7,41.7,9.3,22.2,17.1,20.4,33.3,66.7,80,20,53.6,46.4
Taylor Mikesell,Atlanta Dream,1611661330,2003,5,5.4,30,70,23.5,0,52.9,0,23.6,29.4,23.5,0,100,100,0,60,40
Aari McDonald,Atlanta Dream,1611661330,2004,5,28.7,47.4,52.6,26.7,0,60,26.7,13.3,16.7,26.7,50,50,83.3,16.7,70,30
Allisha Gray,Atlanta Dream,1611661330,2004,13,32.4,78.5,21.5,56.5,9.6,15.7,17,27.8,10.9,47,63.1,36.9,91.7,8.3,67.5,32.5
Asia (AD) Durr,Atlanta Dream,1611661330,2004,13,14.8,63.4,36.6,53.3,17.8,30,18.9,16.7,20,35.6,33.3,66.7,100,0,51.5,48.5
Cheyenne Parker,Atlanta Dream,1611661330,2004,13,27.2,87.7,12.3,71.8,9.6,8.6,9.1,19.6,17.7,62.2,62.7,37.3,100,0,65.4,34.6
Danielle Robinson,Atlanta Dream,1611661330,2004,5,14.4,78.3,21.7,59.3,14.8,33.3,7.4,7.4,22.2,44.4,50,50,100,0,63.6,36.4
Haley Jones,Atlanta Dream,1611661330,2004,13,21.9,82.4,17.6,64.6,12.3,18.5,10.8,16.9,15.4,52.3,19,81,100,0,32,68
Laeticia Amihere,Atlanta Dream,1611661330,2004,7,7.8,93.3,6.7,53.8,0,0,7.7,46.2,11.5,53.8,57.1,42.9,0,0,57.1,42.9
Lorela Cubaj,Atlanta Dream,1611661330,2004,3,6.2,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0
Monique Billings,Atlanta Dream,1611661330,2004,12,14.7,97.7,2.3,64.2,15.1,0,28.3,35.8,39.6,49.1,70.6,29.4,0,0,70.6,29.4
Naz Hillmon,Atlanta Dream,1611661330,2004,13,15.5,97.6,2.4,71.9,6.3,0,3.1,28.1,15.6,65.6,69.6,30.4,0,0,69.6,30.4
Nia Coffey,Atlanta Dream,1611661330,2004,13,20.6,50.8,49.2,35.3,8.8,57.4,11.8,7.3,17.6,26.5,58.3,41.7,100,0,80,20
Rhyne Howard,Atlanta Dream,1611661330,2004,13,31.7,54.4,45.6,36.1,15.7,41.7,9.3,22.2,17.1,20.4,33.3,66.7,80,20,53.6,46.4
Taylor Mikesell,Atlanta Dream,1611661330,2004,5,5.4,30,70,23.5,0,52.9,0,23.6,29.4,23.5,0,100,100,0,60,40
Aari McDonald,Atlanta Dream,1611661330,2005,5,28.7,47.4,52.6,26.7,0,60,26.7,13.3,16.7,26.7,50,50,83.3,16.7,70,30
Allisha Gray,Atlanta Dream,1611661330,2005,13,32.4,78.5,21.5,56.5,9.6,15.7,17,27.8,10.9,47,63.1,36.9,91.7,8.3,67.5,32.5
Asia (AD) Durr,Atlanta Dream,1611661330,2005,13,14.8,63.4,36.6,53.3,17.8,30,18.9,16.7,20,35.6,33.3,66.7,100,0,51.5,48.5
Cheyenne Parker,Atlanta Dream,1611661330,2005,13,27.2,87.7,12.3,71.8,9.6,8.6,9.1,19.6,17.7,62.2,62.7,37.3,100,0,65.4,34.6
Danielle Robinson,Atlanta Dream,1611661330,2005,5,14.4,78.3,21.7,59.3,14.8,33.3,7.4,7.4,22.2,44.4,50,50,100,0,63.6,36.4
Haley Jones,Atlanta Dream,1611661330,2005,13,21.9,82.4,17.6,64.6,12.3,18.5,10.8,16.9,15.4,52.3,19,81,100,0,32,68
Laeticia Amihere,Atlanta Dream,1611661330,2005,7,7.8,93.3,6.7,53.8,0,0,7.7,46.2,11.5,53.8,57.1,42.9,0,0,57.1,42.9
Lorela Cubaj,Atlanta Dream,1611661330,2005,3,6.2,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0
Monique Billings,Atlanta Dream,1611661330,2005,12,14.7,97.7,2.3,64.2,15.1,0,28.3,35.8,39.6,49.1,70.6,29.4,0,0,70.6,29.4
Naz Hillmon,Atlanta Dream,1611661330,2005,13,15.5,97.6,2.4,71.9,6.3,0,3.1,28.1,15.6,65.6,69.6,30.4,0,0,69.6,30.4
Nia Coffey,Atlanta Dream,1611661330,2005,13,20.6,50.8,49.2,35.3,8.8,57.4,11.8,7.3,17.6,26.5,58.3,41.7,100,0,80,20
Rhyne Howard,Atlanta Dream,1611661330,2005,13,31.7,54.4,45.6,36.1,15.7,41.7,9.3,22.2,17.1,20.4,33.3,66.7,80,20,53.6,46.4
Taylor Mikesell,Atlanta Dream,1611661330,2005,5,5.4,30,70,23.5,0,52.9,0,23.6,29.4,23.5,0,100,100,0,60,40
Aari McDonald,Atlanta Dream,1611661330,2006,5,28.7,47.4,52.6,26.7,0,60,26.7,13.3,16.7,26.7,50,50,83.3,16.7,70,30
Allisha Gray,Atlanta Dream,1611661330,2006,13,32.4,78.5,21.5,56.5,9.6,15.7,17,27.8,10.9,47,63.1,36.9,91.7,8.3,67.5,32.5
Asia (AD) Durr,Atlanta Dream,1611661330,2006,13,14.8,63.4,36.6,53.3,17.8,30,18.9,16.7,20,35.6,33.3,66.7,100,0,51.5,48.5
Cheyenne Parker,Atlanta Dream,1611661330,2006,13,27.2,87.7,12.3,71.8,9.6,8.6,9.1,19.6,17.7,62.2,62.7,37.3,100,0,65.4,34.6
Danielle Robinson,Atlanta Dream,1611661330,2006,5,14.4,78.3,21.7,59.3,14.8,33.3,7.4,7.4,22.2,44.4,50,50,100,0,63.6,36.4
Haley Jones,Atlanta Dream,1611661330,2006,13,21.9,82.4,17.6,64.6,12.3,18.5,10.8,16.9,15.4,52.3,19,81,100,0,32,68
Laeticia Amihere,Atlanta Dream,1611661330,2006,7,7.8,93.3,6.7,53.8,0,0,7.7,46.2,11.5,53.8,57.1,42.9,0,0,57.1,42.9
Lorela Cubaj,Atlanta Dream,1611661330,2006,3,6.2,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0
Monique Billings,Atlanta Dream,1611661330,2006,12,14.7,97.7,2.3,64.2,15.1,0,28.3,35.8,39.6,49.1,70.6,29.4,0,0,70.6,29.4
Naz Hillmon,Atlanta Dream,1611661330,2006,13,15.5,97.6,2.4,71.9,6.3,0,3.1,28.1,15.6,65.6,69.6,30.4,0,0,69.6,30.4
Nia Coffey,Atlanta Dream,1611661330,2006,13,20.6,50.8,49.2,35.3,8.8,57.4,11.8,7.3,17.6,26.5,58.3,41.7,100,0,80,20
Rhyne Howard,Atlanta Dream,1611661330,2006,13,31.7,54.4,45.6,36.1,15.7,41.7,9.3,22.2,17.1,20.4,33.3,66.7,80,20,53.6,46.4
Taylor Mikesell,Atlanta Dream,1611661330,2006,5,5.4,30,70,23.5,0,52.9,0,23.6,29.4,23.5,0,100,100,0,60,40
Aari McDonald,Atlanta Dream,1611661330,2007,5,28.7,47.4,52.6,26.7,0,60,26.7,13.3,16.7,26.7,50,50,83.3,16.7,70,30
Allisha Gray,Atlanta Dream,1611661330,2007,13,32.4,78.5,21.5,56.5,9.6,15.7,17,27.8,10.9,47,63.1,36.9,91.7,8.3,67.5,32.5
Asia (AD) Durr,Atlanta Dream,1611661330,2007,13,14.8,63.4,36.6,53.3,17.8,30,18.9,16.7,20,35.6,33.3,66.7,100,0,51.5,48.5
Cheyenne Parker,Atlanta Dream,1611661330,2007,13,27.2,87.7,12.3,71.8,9.6,8.6,9.1,19.6,17.7,62.2,62.7,37.3,100,0,65.4,34.6
Danielle Robinson,Atlanta Dream,1611661330,2007,5,14.4,78.3,21.7,59.3,14.8,33.3,7.4,7.4,22.2,44.4,50,50,100,0,63.6,36.4
Haley Jones,Atlanta Dream,1611661330,2007,13,21.9,82.4,17.6,64.6,12.3,18.5,10.8,16.9,15.4,52.3,19,81,100,0,32,68
Laeticia Amihere,Atlanta Dream,1611661330,2007,7,7.8,93.3,6.7,53.8,0,0,7.7,46.2,11.5,53.8,57.1,42.9,0,0,57.1,42.9
Lorela Cubaj,Atlanta Dream,1611661330,2007,3,6.2,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0
Monique Billings,Atlanta Dream,1611661330,2007,12,14.7,97.7,2.3,64.2,15.1,0,28.3,35.8,39.6,49.1,70.6,29.4,0,0,70.6,29.4
Naz Hillmon,Atlanta Dream,1611661330,2007,13,15.5,97.6,2.4,71.9,6.3,0,3.1,28.1,15.6,65.6,69.6,30.4,0,0,69.6,30.4
Nia Coffey,Atlanta Dream,1611661330,2007,13,20.6,50.8,49.2,35.3,8.8,57.4,11.8,7.3,17.6,26.5,58.3,41.7,100,0,80,20
Rhyne Howard,Atlanta Dream,1611661330,2007,13,31.7,54.4,45.6,36.1,15.7,41.7,9.3,22.2,17.1,20.4,33.3,66.7,80,20,53.6,46.4
Taylor Mikesell,Atlanta Dream,1611661330,2007,5,5.4,30,70,23.5,0,52.9,0,23.6,29.4,23.5,0,100,100,0,60,40
Alison Bales,Atlanta Dream,1611661330,2008,17,22.9,95.9,4.1,70.7,24.4,3.7,0,25.6,18.3,46.3,65.5,34.5,100,0,66.7,33.3
Ann Strother,Atlanta Dream,1611661330,2008,21,7.6,44.1,55.9,25.6,15.4,53.8,12.8,20.6,7.7,10.3,60,40,100,0,83.3,16.7
Betty Lennox,Atlanta Dream,1611661330,2008,34,29.7,64.7,35.3,48.4,26.2,31.8,11.1,19.8,18.2,22.2,27.8,72.2,79.4,20.6,43.5,56.5
Camille Little,Atlanta Dream,1611661330,2008,13,17,80,20,54.8,9.7,19.4,8.1,25.8,21,45.2,70.6,29.4,100,0,76.2,23.8
Chioma Nnamaka,Atlanta Dream,1611661330,2008,12,7,57.7,42.3,50,25,37.5,0,12.5,18.8,25,75,25,100,0,83.3,16.7
Erika de Souza,Atlanta Dream,1611661330,2008,12,23.1,100,0,85.7,3.6,0,7.1,14.3,17.9,82.1,64.6,35.4,0,0,64.6,35.4
Ivory Latta,Atlanta Dream,1611661330,2008,34,28.2,53.4,46.6,35.6,5.7,42.5,14.2,21.9,24.7,29.9,14.5,85.5,56.4,43.6,33.1,66.9
Iziane Castro Marques,Atlanta Dream,1611661330,2008,29,23.1,65.4,34.6,49.8,23,32.3,15.2,17.9,20.1,26.8,41.8,58.2,62.1,37.9,47.9,52.1
Jennifer Lacy,Atlanta Dream,1611661330,2008,33,18.3,88.9,11.1,74.1,21.2,6.3,6.3,19.6,20.6,52.9,72.9,27.1,100,0,74.3,25.7
Kasha Terry,Atlanta Dream,1611661330,2008,20,13.7,100,0,78.3,0,0,13,21.7,26.1,78.3,58.3,41.7,0,0,58.3,41.7
Katie Mattera,Atlanta Dream,1611661330,2008,33,14,100,0,70,4.5,0,0,30,25.5,65.5,71.4,28.6,0,0,71.4,28.6
Kristen Mann,Atlanta Dream,1611661330,2008,13,17.2,81.8,18.2,62.2,17.8,26.7,0,11.1,15.6,44.4,71.4,28.6,100,0,77.8,22.2
Kristin Haynie,Atlanta Dream,1611661330,2008,33,14.7,66.3,33.7,42.6,19.1,31.9,8.5,25.5,18.1,23.4,35,65,70,30,46.7,53.3
Stacey Lovelace,Atlanta Dream,1611661330,2008,15,17.2,73,27,57.1,13.2,33,4.4,9.9,34.1,44,80.8,19.2,100,0,86.1,13.9
Tamera Young,Atlanta Dream,1611661330,2008,33,22.6,83.3,16.7,55.8,22.5,16.3,11.7,27.9,18.3,33.3,46.3,53.7,92.3,7.7,53.8,46.3
Angel McCoughtry,Atlanta Dream,1611661330,2009,34,21.6,84.8,15.2,66.7,18.4,10.3,20.9,23,30.8,48.3,29.7,70.3,73.3,26.7,33.8,66.3
Armintie Herrington,Atlanta Dream,1611661330,2009,11,9,100,0,62.5,0,0,31.3,37.5,43.8,62.5,60,40,0,0,60,40
Chamique Holdsclaw,Atlanta Dream,1611661330,2009,25,28.3,90.6,9.4,72.4,39.7,5.2,17.2,22.4,21.6,32.8,32.5,67.5,100,0,35.6,64.4
Coco Miller,Atlanta Dream,1611661330,2009,34,12,77.9,22.1,64.1,35.1,18.3,16.8,17.6,26.7,29,52.4,47.6,100,0,60,40
Erika de Souza,Atlanta Dream,1611661330,2009,34,27.3,100,0,84.6,5.5,0,9.7,15.4,15.4,79.1,55.9,44.1,0,0,55.9,44.1
Ivory Latta,Atlanta Dream,1611661330,2009,24,14.6,54.5,45.5,37,9.6,37,19.9,26,24,27.4,22.2,77.8,44.4,55.6,31.1,68.9
Iziane Castro Marques,Atlanta Dream,1611661330,2009,34,26.9,68.1,31.9,55.3,22.1,30.1,21.1,14.6,23.4,33.2,35.6,64.4,59.2,40.8,41.8,58.2
Jennifer Lacy,Atlanta Dream,1611661330,2009,32,11.3,82.2,17.8,64.6,16.7,12.5,5.2,22.9,17.7,47.9,48.4,51.6,100,0,54.3,45.7
Michelle Snow,Atlanta Dream,1611661330,2009,34,14.8,98.6,1.4,72.4,16.2,0,5.4,27.6,17.3,56.2,64.2,35.8,0,0,64.2,35.8
Nikki Teasley,Atlanta Dream,1611661330,2009,10,23.4,43.3,56.7,25.6,5.1,53.8,17.9,20.6,7.7,20.5,20,80,100,0,66.7,33.3
