PLAYER_ID,RANK,PLAYER,TEAM,GP,PPG,APG,RPG,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS,EFF,AST_TOV,STL_TOV
61,176,Carl Herrera,SAS,5,0.4,0.2,0.8,25,1,3,0.333,0,0,0.0,0,0,0.0,0,4,4,1,1,0,0,4,2,4,1.0,0.0
1003,177,Drew Barry,ATL,2,0.0,0.0,0.5,5,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0.0,0.0
468,178,Jon Barry,LAL,7,0.0,0.0,0.3,18,0,8,0.0,0,5,0.0,0,0,0.0,0,2,2,0,0,1,0,1,0,-5,0.0,0.0
979,179,Jermaine O'Neal,POR,1,0.0,0.0,1.0,3,0,3,0.0,0,1,0.0,0,0,0.0,1,0,1,0,0,0,2,1,0,0,0.0,0.0
246,180,Greg Anderson,ATL,1,0.0,0.0,2.0,4,0,0,0.0,0,0,0.0,0,2,0.0,0,2,2,0,1,0,1,1,0,0,0.0,0.0
190,181,Duane Causwell,MIA,1,0.0,0.0,2.0,5,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,1,0,0,0,0,1,0.0,0.0
38,182,Brad Lohaus,SAS,4,0.0,0.2,0.5,10,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,1,0,1,0,0,0,3,0.0,0.0
710,183,David Vaughn,NJN,1,0.0,0.0,0.0,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,1,0.0,0.0
198,184,Danny Ferry,CLE,3,0.0,0.0,0.3,10,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-1,0.0,0.0
685,185,Cherokee Parks,MIN,1,0.0,0.0,0.0,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
967,186,Brian Evans,NJN,3,0.0,0.0,0.3,4,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,1,0.0,0.0
223,187,Bill Curley,MIN,2,0.0,0.0,0.0,7,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
1479,188,Mike Brown,PHX,1,0.0,0.0,0.0,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
