"REF_DATE","GEO","DGUID","Age group","Sex","Income source","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1997","Alberta","2016A000248","16 years and over","Males","Total income","Number with income","Number","223","thousands","3","v107680730","12.1.2.1.2","1047","A","","","0"
"1998","Alberta","2016A000248","16 years and over","Males","Total income","Number with income","Number","223","thousands","3","v107680730","12.1.2.1.2","1069","A","","","0"
"1999","Alberta","2016A000248","16 years and over","Males","Total income","Number with income","Number","223","thousands","3","v107680730","12.1.2.1.2","1100","A","","","0"
"2000","Alberta","2016A000248","16 years and over","Males","Total income","Number with income","Number","223","thousands","3","v107680730","12.1.2.1.2","1123","A","","","0"
"2001","Alberta","2016A000248","16 years and over","Males","Total income","Number with income","Number","223","thousands","3","v107680730","12.1.2.1.2","1154","A","","","0"
"2002","Alberta","2016A000248","16 years and over","Males","Total income","Number with income","Number","223","thousands","3","v107680730","12.1.2.1.2","1188","A","","","0"
"2003","Alberta","2016A000248","16 years and over","Males","Total income","Number with income","Number","223","thousands","3","v107680730","12.1.2.1.2","1203","A","","","0"
"2004","Alberta","2016A000248","16 years and over","Males","Total income","Number with income","Number","223","thousands","3","v107680730","12.1.2.1.2","1219","A","","","0"
"2005","Alberta","2016A000248","16 years and over","Males","Total income","Number with income","Number","223","thousands","3","v107680730","12.1.2.1.2","1257","A","","","0"
"2006","Alberta","2016A000248","16 years and over","Males","Total income","Number with income","Number","223","thousands","3","v107680730","12.1.2.1.2","1350","A","","","0"
"2007","Alberta","2016A000248","16 years and over","Males","Total income","Number with income","Number","223","thousands","3","v107680730","12.1.2.1.2","1381","A","","","0"
"2008","Alberta","2016A000248","16 years and over","Males","Total income","Number with income","Number","223","thousands","3","v107680730","12.1.2.1.2","1422","A","","","0"
"2009","Alberta","2016A000248","16 years and over","Males","Total income","Number with income","Number","223","thousands","3","v107680730","12.1.2.1.2","1433","A","","","0"
"2010","Alberta","2016A000248","16 years and over","Males","Total income","Number with income","Number","223","thousands","3","v107680730","12.1.2.1.2","1451","A","","","0"
"2011","Alberta","2016A000248","16 years and over","Males","Total income","Number with income","Number","223","thousands","3","v107680730","12.1.2.1.2","1487","A","","","0"
"2012","Alberta","2016A000248","16 years and over","Males","Total income","Number with income","Number","223","thousands","3","v107680730","12.1.2.1.2","1522","A","","","0"
"2013","Alberta","2016A000248","16 years and over","Males","Total income","Number with income","Number","223","thousands","3","v107680730","12.1.2.1.2","1582","A","","","0"
"2014","Alberta","2016A000248","16 years and over","Males","Total income","Number with income","Number","223","thousands","3","v107680730","12.1.2.1.2","1606","A","","","0"
"2015","Alberta","2016A000248","16 years and over","Males","Total income","Number with income","Number","223","thousands","3","v107680730","12.1.2.1.2","1609","A","","","0"
"2016","Alberta","2016A000248","16 years and over","Males","Total income","Number with income","Number","223","thousands","3","v107680730","12.1.2.1.2","1607","A","","","0"
"2017","Alberta","2016A000248","16 years and over","Males","Total income","Number with income","Number","223","thousands","3","v107680730","12.1.2.1.2","1631","A","","","0"
"2018","Alberta","2016A000248","16 years and over","Males","Total income","Number with income","Number","223","thousands","3","v107680730","12.1.2.1.2","1657","A","","","0"
"2019","Alberta","2016A000248","16 years and over","Males","Total income","Number with income","Number","223","thousands","3","v107680730","12.1.2.1.2","1691","A","","","0"
"2020","Alberta","2016A000248","16 years and over","Males","Total income","Number with income","Number","223","thousands","3","v107680730","12.1.2.1.2","1706","A","","","0"
"1990","Alberta","2016A000248","16 years and over","Males","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680731","12.1.2.1.3","50317","","","","0"
"1991","Alberta","2016A000248","16 years and over","Males","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680731","12.1.2.1.3","51729","","","","0"
"1992","Alberta","2016A000248","16 years and over","Males","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680731","12.1.2.1.3","48494","","","","0"
"1993","Alberta","2016A000248","16 years and over","Males","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680731","12.1.2.1.3","48650","A","","","0"
"1994","Alberta","2016A000248","16 years and over","Males","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680731","12.1.2.1.3","50060","A","","","0"
"1995","Alberta","2016A000248","16 years and over","Males","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680731","12.1.2.1.3","50715","A","","","0"
"1996","Alberta","2016A000248","16 years and over","Males","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680731","12.1.2.1.3","52379","B","","","0"
"1997","Alberta","2016A000248","16 years and over","Males","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680731","12.1.2.1.3","59438","B","","","0"
"1998","Alberta","2016A000248","16 years and over","Males","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680731","12.1.2.1.3","62368","B","","","0"
"1999","Alberta","2016A000248","16 years and over","Males","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680731","12.1.2.1.3","61447","A","","","0"
"2000","Alberta","2016A000248","16 years and over","Males","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680731","12.1.2.1.3","65910","B","","","0"
"2001","Alberta","2016A000248","16 years and over","Males","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680731","12.1.2.1.3","70254","A","","","0"
"2002","Alberta","2016A000248","16 years and over","Males","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680731","12.1.2.1.3","70588","A","","","0"
"2003","Alberta","2016A000248","16 years and over","Males","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680731","12.1.2.1.3","73597","A","","","0"
"2004","Alberta","2016A000248","16 years and over","Males","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680731","12.1.2.1.3","77439","B","","","0"
