"REF_DATE","GEO","DGUID","Age group","Sex","Income source","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1990","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107680654","12.1.1.1.1","1880","","","","0"
"1991","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107680654","12.1.1.1.1","1911","","","","0"
"1992","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107680654","12.1.1.1.1","1938","","","","0"
"1993","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107680654","12.1.1.1.1","1970","A","","","0"
"1994","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107680654","12.1.1.1.1","1994","A","","","0"
"1995","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107680654","12.1.1.1.1","2030","A","","","0"
"1996","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107680654","12.1.1.1.1","2069","A","","","0"
"1997","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107680654","12.1.1.1.1","2132","A","","","0"
"1998","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107680654","12.1.1.1.1","2196","A","","","0"
"1999","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107680654","12.1.1.1.1","2245","A","","","0"
"2000","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107680654","12.1.1.1.1","2298","A","","","0"
"2001","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107680654","12.1.1.1.1","2341","A","","","0"
"2002","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107680654","12.1.1.1.1","2397","A","","","0"
"2003","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107680654","12.1.1.1.1","2445","A","","","0"
"2004","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107680654","12.1.1.1.1","2481","A","","","0"
"2005","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107680654","12.1.1.1.1","2552","A","","","0"
"2006","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107680654","12.1.1.1.1","2694","A","","","0"
"2007","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107680654","12.1.1.1.1","2764","A","","","0"
"2008","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107680654","12.1.1.1.1","2845","A","","","0"
"2009","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107680654","12.1.1.1.1","2896","A","","","0"
"2010","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107680654","12.1.1.1.1","2942","A","","","0"
"2011","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107680654","12.1.1.1.1","3006","A","","","0"
"2012","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107680654","12.1.1.1.1","3076","A","","","0"
"2013","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107680654","12.1.1.1.1","3158","A","","","0"
"2014","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107680654","12.1.1.1.1","3215","A","","","0"
"2015","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107680654","12.1.1.1.1","3264","A","","","0"
"2016","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107680654","12.1.1.1.1","3302","A","","","0"
"2017","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107680654","12.1.1.1.1","3327","A","","","0"
"2018","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107680654","12.1.1.1.1","3369","A","","","0"
"2019","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107680654","12.1.1.1.1","3447","A","","","0"
"2020","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107680654","12.1.1.1.1","3468","A","","","0"
"1990","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107680655","12.1.1.1.2","1776","","","","0"
"1991","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107680655","12.1.1.1.2","1797","","","","0"
"1992","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107680655","12.1.1.1.2","1812","","","","0"
"1993","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107680655","12.1.1.1.2","1864","A","","","0"
"1994","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107680655","12.1.1.1.2","1898","A","","","0"
"1995","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107680655","12.1.1.1.2","1934","A","","","0"
"1996","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107680655","12.1.1.1.2","1985","A","","","0"
"1997","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107680655","12.1.1.1.2","2049","A","","","0"
"1998","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107680655","12.1.1.1.2","2121","A","","","0"
"1999","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107680655","12.1.1.1.2","2182","A","","","0"
"2000","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107680655","12.1.1.1.2","2234","A","","","0"
"2001","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107680655","12.1.1.1.2","2284","A","","","0"
"2002","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107680655","12.1.1.1.2","2347","A","","","0"
"2003","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107680655","12.1.1.1.2","2370","A","","","0"
"2004","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107680655","12.1.1.1.2","2411","A","","","0"
"2005","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107680655","12.1.1.1.2","2493","A","","","0"
"2006","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107680655","12.1.1.1.2","2667","A","","","0"
"2007","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107680655","12.1.1.1.2","2709","A","","","0"
"2008","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107680655","12.1.1.1.2","2792","A","","","0"
"2009","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107680655","12.1.1.1.2","2815","A","","","0"
"2010","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107680655","12.1.1.1.2","2859","A","","","0"
"2011","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107680655","12.1.1.1.2","2932","A","","","0"
"2012","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107680655","12.1.1.1.2","3005","A","","","0"
"2013","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107680655","12.1.1.1.2","3078","A","","","0"
"2014","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107680655","12.1.1.1.2","3159","A","","","0"
"2015","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107680655","12.1.1.1.2","3187","A","","","0"
"2016","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107680655","12.1.1.1.2","3196","A","","","0"
"2017","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107680655","12.1.1.1.2","3242","A","","","0"
"2018","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107680655","12.1.1.1.2","3282","A","","","0"
"2019","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107680655","12.1.1.1.2","3348","A","","","0"
"2020","Alberta","2016A000248","16 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107680655","12.1.1.1.2","3403","A","","","0"
"1990","Alberta","2016A000248","16 years and over","Both sexes","Total income","Aggregate income","2021 constant dollars","429","millions","6","v107680656","12.1.1.1.3","76825","","","","0"
